Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
582,3 BHK Apartment,Immediately,Semi-Furnished,Family,1800 sqft,24000,narsingi outer ring road,200.0
583,2 BHK Apartment,2,Semi-Furnished,Bachelors,1150 sqft,27000,muppas alankrita narsingi outer ring road,127.77777777777777
584,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1080 sqft,9000,gajularamaram,120.0
585,4 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2600 sqft,21000,trimulgherry,288.8888888888889
586,3 BHK Apartment,3,Semi-Furnished,Family,1345 sqft,19000,raheja vistas nacharam,149.44444444444446
587,2 BHK Apartment,2,Unfurnished,Bachelors,1400 sqft,24000,ushodaya enclave hafeezpet,155.55555555555554
588,3 BHK Apartment,East,Furnished,Family,1625 sqft,16500,nizampet,180.55555555555554
589,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,7000,badangpet,111.11111111111111
590,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,26000,erragadda nh,166.66666666666666
591,3 BHK Apartment,,Bachelors/Family,3,1625 sqft,16500,bandari layout,180.55555555555554
592,4 BHK Penthouse,2,Furnished,Bachelors/Family,2300 sqft,50000,domalguda himayath nagar nh,255.55555555555554
593,3 BHK Apartment,2,Unfurnished,Bachelors,1860 sqft,42500,vajras jasmine county gachibowli outer ring road,206.66666666666666
594,3 BHK Apartment,1,Furnished,Bachelors/Family,1575 sqft,50000,aditya empress towers shaikpet,175.0
595,3 BHK Apartment,2,Furnished,Family,1600 sqft,35000,banjara hills nh,177.77777777777777
596,3 BHK Apartment,3,Unfurnished,Bachelors,1435 sqft,20000,dr as rao nagar,159.44444444444446
597,3 BHK Apartment,3,Unfurnished,Bachelors/Family,1275 sqft,20000,boiguda,141.66666666666666
598,3 BHK Apartment,2,Semi-Furnished,Family,2090 sqft,40000,lt serene county telecom nagar gachibowli outer ring road,232.22222222222223
599,3 BHK Apartment,1,Semi-Furnished,Family,2425 sqft,45000,meenakshi sky lounge bikshapathi nagar hafeezpet,269.44444444444446
600,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1000 sqft,22000,hitech city,111.11111111111111
601,2 BHK Apartment,1,Semi-Furnished,Bachelors,1200 sqft,25000,madhapur,133.33333333333334
602,3 BHK Apartment,3,Furnished,Bachelors/Family,1550 sqft,28000,dd colony amberpet,172.22222222222223
603,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1900 sqft,35000,aditya imperial heights hafeezpet nh,211.11111111111111
604,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,850 sqft,10000,attapur,94.44444444444444
605,3 BHK Apartment,2,Unfurnished,Family,1400 sqft,14000,attapur,155.55555555555554
606,2 BHK Apartment,1,Unfurnished,Bachelors,990 sqft,12000,nizampet,110.0
608,2 BHK Apartment,1,Semi-Furnished,Family,1100 sqft,16000,chandanagar nh,122.22222222222223
609,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,975 sqft,16000,lingampallyserilingampally nh,108.33333333333333
611,3 BHK Apartment,3,Semi-Furnished,Bachelors,1900 sqft,38000,lodha meridian kukatpally housing board colony nh,211.11111111111111
612,3 BHK Apartment,2,Furnished,Bachelors/Family,1500 sqft,45000,masab tank,166.66666666666666
614,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1100 sqft,15000,madinaguda hafeezpet nh,122.22222222222223
615,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1750 sqft,23000,anjani towers ameerpet nh,194.44444444444446
616,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1600 sqft,25000,himayatnagar,177.77777777777777
617,3 BHK Apartment,3,Semi-Furnished,Bachelors,2000 sqft,20000,bandlaguda jagir,222.22222222222223
618,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1715 sqft,21000,migh colonymehdipatnam,190.55555555555554
619,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1834 sqft,38000,narsingi outer ring road,203.77777777777777
620,2 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,16000,manikonda outer ring road,150.0
621,3 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1560 sqft,25000,new mallepally,173.33333333333334
623,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,18000,himayath nagar nh,122.22222222222223
624,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,36000,my home vihanga gachibowli outer ring road,177.77777777777777
625,2 BHK Apartment,East,Unfurnished,Bachelors,1025 sqft,15400,begumpet,113.88888888888889
627,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1800 sqft,19000,panjagutta colony,200.0
628,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1800 sqft,22000,attapur,200.0
630,3 BHK Apartment,2,Semi-Furnished,Bachelors,2600 sqft,40000,banjara hills nh,288.8888888888889
633,3 BHK Apartment,2,Semi-Furnished,Bachelors,1200 sqft,12000,neredmet,133.33333333333334
634,3 BHK Apartment,1,Furnished,Bachelors/Family,1198 sqft,40000,mantri celestia gachibowli outer ring road,133.11111111111111
635,3 BHK Apartment,3,Semi-Furnished,Family,1602 sqft,30000,mjr golden enclave madhapur,178.0
636,2 BHK Apartment,1,Unfurnished,Bachelors,1125 sqft,11000,lakshmi nagar colonyhanuman nagar colony secunderabad,125.0
637,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,25000,barkatpura kachiguda nh,222.22222222222223
638,3 BHK Builder Floor,2,Semi-Furnished,Family,2500 sqft,48000,jayabheri orange county gachibowli cuc outer ring road,277.77777777777777
639,2 BHK Apartment,1,Semi-Furnished,Bachelors,1000 sqft,15000,gachibowli outer ring road,111.11111111111111
642,3 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1685 sqft,30000,my homes jewel miyapur nh,187.22222222222223
643,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1550 sqft,28000,yella reddy guda nh,172.22222222222223
645,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2100 sqft,30000,ashok nagar himayath nagar,233.33333333333334
646,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1100 sqft,12000,malakpet nh,122.22222222222223
647,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1850 sqft,35000,himayath nagar nh,205.55555555555554
648,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1100 sqft,17500,kondapur,122.22222222222223
649,3 BHK Apartment,2,Semi-Furnished,Bachelors,2500 sqft,47000,meenakshis royal court banjara hills nh,277.77777777777777
650,2 BHK Apartment,2,Semi-Furnished,Bachelors,1040 sqft,9500,,115.55555555555556
651,2 BHK Apartment,West,Semi-Furnished,Family,1364 sqft,28000,jains carlton creek gachibowli outer ring road,151.55555555555554
652,2 BHK Apartment,2,Furnished,Family,1050 sqft,17000,manikonda society manikonda outer ring road,116.66666666666667
653,3 BHK Apartment,2,Furnished,Bachelors/Family,1750 sqft,18000,manikonda outer ring road,194.44444444444446
654,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1050 sqft,20000,kukatpally housing board colony nh,116.66666666666667
655,2 BHK Builder Floor,2,Unfurnished,Bachelors,1100 sqft,15000,chikkadpally,122.22222222222223
656,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,18000,vasavi residency anand nagarkhairatabad nh,122.22222222222223
658,2 BHK Apartment,2,Semi-Furnished,Family,1300 sqft,12000,rahat nagaramberpet,144.44444444444446
659,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1300 sqft,12000,old alwal secunderabad siddipet road,144.44444444444446
660,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,11500,chandanagar nh,133.33333333333334
661,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1200 sqft,15600,kukatpally housing board colony nh,133.33333333333334
663,3 BHK Apartment,1,Unfurnished,Bachelors,1400 sqft,18000,friends colony,155.55555555555554
665,2 BHK Apartment,1,Unfurnished,Family,1060 sqft,7000,dr as rao nagar,117.77777777777777
666,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1100 sqft,6500,boduppal nh,122.22222222222223
667,2 BHK Apartment,1,Unfurnished,Bachelors,1175 sqft,18500,manikonda outer ring road,130.55555555555554
668,2 BHK Builder Floor,1,Unfurnished,Bachelors,1800 sqft,11000,alkapuri lb nagar nh,200.0
670,2 BHK Apartment,Immediately,Furnished,Bachelors/Family,1100 sqft,18000,kukatpally nh,122.22222222222223
672,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1200 sqft,13000,suchitra circle,133.33333333333334
674,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,15000,jubilee hills,133.33333333333334
675,2 BHK Apartment,,Bachelors/Family,1,600 sqft,5500,nagole,66.66666666666667
676,3 BHK Apartment,1,Semi-Furnished,Family,1200 sqft,22000,road ,133.33333333333334
678,3 BHK Apartment,2,Unfurnished,Bachelors,1200 sqft,13000,bachupally outer ring road,133.33333333333334
679,3 BHK Apartment,East,Semi-Furnished,Family,1525 sqft,25000,miyapur nh,169.44444444444446
680,2 BHK Apartment,3,Unfurnished,Bachelors/Family,950 sqft,15000,attapur,105.55555555555556
681,3 BHK Apartment,2,Furnished,Family,1665 sqft,35000,kondapur,185.0
682,3 BHK Apartment,,Bachelors/Family,3,1575 sqft,20000,kompally,175.0
683,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1300 sqft,17000,gachibowli phase,144.44444444444446
684,2 BHK Apartment,,Bachelors/Family,2,1300 sqft,17000,gachibowli outer ring road,144.44444444444446
685,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1200 sqft,7000,sangareddy,133.33333333333334
686,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1050 sqft,15000,masab tank,116.66666666666667
687,2 BHK Apartment,,Bachelors/Family,2,975 sqft,28000,kattel mandi abids,108.33333333333333
688,3 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1521 sqft,18000,miyapur nh,169.0
689,2 BHK Apartment,1,Furnished,Bachelors/Family,1470 sqft,25000,attapur,163.33333333333334
690,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1650 sqft,30000,gopalnagar society hafeezpet,183.33333333333334
691,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1360 sqft,35000,kukatpally nh,151.11111111111111
692,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1138 sqft,20000,gagan mahal himayath nagar nh,126.44444444444444
693,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1050 sqft,16000,sai nagarkomapally nh,116.66666666666667
694,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1500 sqft,15000,surya nagar colony secunderabad medchal road,166.66666666666666
695,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1000 sqft,7500,meerpet,111.11111111111111
696,2 BHK Apartment,1,Furnished,Bachelors/Family,1470 sqft,25000,attapur,163.33333333333334
698,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1220 sqft,27000,masab tank,135.55555555555554
699,2 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,950 sqft,16000,nizampet,105.55555555555556
700,2 BHK Builder Floor,From Nov '19,Furnished,Bachelors/Family,1150 sqft,33000,jagruthi colony,127.77777777777777
701,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,2100 sqft,50000,gachibowli outer ring road,233.33333333333334
702,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,20000,adibatla,111.11111111111111
704,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1230 sqft,35000,gachibowli outer ring road,136.66666666666666
706,3 BHK Builder Floor,2,Unfurnished,Bachelors/Family,1500 sqft,37000,kakatiya hills madhapur,166.66666666666666
707,2 BHK Apartment,2,Unfurnished,Bachelors,910 sqft,20500,old nallakunta new nallakunta,101.11111111111111
708,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1300 sqft,10000,sun city bandlaguda chevella road,144.44444444444446
709,2 BHK Apartment,1,Unfurnished,Bachelors/Family,700 sqft,7500,narapally,77.77777777777777
712,2 BHK Apartment,2,Unfurnished,Bachelors/Family,950 sqft,6000,boduppal dwaraka nagar,105.55555555555556
713,2 BHK Apartment,North,Semi-Furnished,Bachelors/Family,800 sqft,7000,balapur,88.88888888888889
714,2 BHK Apartment,1,Unfurnished,Bachelors/Family,950 sqft,18000,narayanaguda main road,105.55555555555556
715,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1800 sqft,15000,fort view colony,200.0
716,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,18000,hyderabad,133.33333333333334
717,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1000 sqft,21000,begumpet,111.11111111111111
718,2 BHK Apartment,2,Furnished,Bachelors/Family,1519 sqft,25000,suchitra circle,168.77777777777777
719,3 BHK Builder Floor,2,Furnished,Family,1700 sqft,22000,dilsukh nagar nh,188.88888888888889
720,3 BHK Apartment,2,Semi-Furnished,Family,1570 sqft,24000,anjaneyanagar colony moosapet,174.44444444444446
721,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,20000,gandhi nagarboiguda,150.0
722,2 BHK Apartment,2,Semi-Furnished,Bachelors,1250 sqft,6000,karimnagar,138.88888888888889
724,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1600 sqft,20000,hyderabad,177.77777777777777
725,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,35000,aparna hill park silver oaks chandanagar nh,166.66666666666666
726,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1440 sqft,22000,mettuguda,160.0
727,3 BHK Apartment,3,Semi-Furnished,Bachelors,1750 sqft,27000,kaithalapur borabanda,194.44444444444446
728,2 BHK Apartment,North - East,Semi-Furnished,Bachelors/Family,1000 sqft,15000,toli chowki,111.11111111111111
729,2 BHK Apartment,1,Unfurnished,Bachelors/Family,1700 sqft,9000,hyderabad,188.88888888888889
730,3 BHK Apartment,,Bachelors/Family,2,1040 sqft,15200,toli chowki,115.55555555555556
731,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1385 sqft,12000,nagole,153.88888888888889
732,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,900 sqft,9000,bandlaguda jagir,100.0
733,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,950 sqft,10000,sainikpuri,105.55555555555556
734,3 BHK Apartment,1,Semi-Furnished,Family,2100 sqft,18000,hyder shah kote chevella road,233.33333333333334
735,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,16000,ramnagar gundu adikmet nh,150.0
736,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1314 sqft,34000,my home avatar narsingi outer ring road,146.0
737,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1600 sqft,30000,tanasha nagar outer ring road,177.77777777777777
738,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2000 sqft,18500,bowenpally,222.22222222222223
739,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,20000,sd road,133.33333333333334
740,3 BHK Apartment,2,Furnished,Bachelors/Family,1740 sqft,15000,dullapally nh,193.33333333333334
741,3 BHK Builder Floor,North - East,Semi-Furnished,Bachelors/Family,1800 sqft,25000,kukatpally nh,200.0
742,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,900 sqft,11000,vidyut nagar,100.0
743,2 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,130 sqyrd,8000,aminpur,130.0
744,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1182 sqft,25000,chikkadpally,131.33333333333334
745,2 BHK Builder Floor,2,Unfurnished,Family,875 sqft,9500,meerpet,97.22222222222223
747,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1300 sqft,10000,attapur,144.44444444444446
748,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1400 sqft,13000,tellapur outer ring road,155.55555555555554
749,2 BHK Apartment,,Bachelors/Family,2,1250 sqft,27000,gachibowli outer ring road,138.88888888888889
750,3 BHK Builder Floor,East,Semi-Furnished,Family,1500 sqft,15000,vanasthalipuram nh,166.66666666666666
751,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,750 sqft,10000,bandlaguda jagir,83.33333333333333
752,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,750 sqft,10000,hyder shah kote chevella road,83.33333333333333
753,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1685 sqft,38000,gachibowli outer ring road,187.22222222222223
754,2 BHK Apartment,1,Furnished,Bachelors/Family,1000 sqft,20500,jalvayu tower gandhi nagar kavadiguda nh,111.11111111111111
755,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1200 sqft,14000,chandanagar nh,133.33333333333334
756,2 BHK Builder Floor,1,Furnished,Bachelors/Family,100 sqyrd,22000,red hills lakdikapul nh,100.0
757,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,16000,nizampet,166.66666666666666
758,3 BHK Apartment,East,Semi-Furnished,Bachelors/Family,1740 sqft,38000,financial district nanakram guda,193.33333333333334
759,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1500 sqft,20000,brindavan colonytoli chowki,166.66666666666666
760,2 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,1275 sqft,30000,raghavendra colony nh,141.66666666666666
761,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,950 sqft,23000,himayath nagar nh,105.55555555555556
762,2 BHK Builder Floor,2,Semi-Furnished,Bachelors/Family,1150 sqft,13000,nizampet,127.77777777777777
763,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,25000,kondapur,133.33333333333334
764,2 BHK Apartment,1,Furnished,Bachelors/Family,1000 sqft,15000,new nallakunta,111.11111111111111
765,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,20000,brindavan colonytoli chowki,133.33333333333334
766,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1200 sqft,14000,new nallakunta,133.33333333333334
767,3 BHK Apartment,2,Semi-Furnished,Bachelors,1600 sqft,26000,sanjeeva reddy nagar nh,177.77777777777777
768,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1600 sqft,17000,arvind nagar colony toli chowki,177.77777777777777
770,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1395 sqft,15000,attapur,155.0
771,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1258 sqft,18000,kukatpally nh,139.77777777777777
773,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,13000,toli chowki,111.11111111111111
774,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1000 sqft,15000,mehdipatnam,111.11111111111111
775,2 BHK Penthouse,Immediately,Semi-Furnished,Bachelors/Family,200 sqft,8500,ou colony,22.22222222222222
776,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,25000,manikonda outer ring road,166.66666666666666
777,2 BHK Apartment,2,Furnished,Family,1250 sqft,16500,mitapur,138.88888888888889
778,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,15500,nizampet road,133.33333333333334
779,2 BHK Apartment,3,Unfurnished,Bachelors,1000 sqft,9000,safilguda secunderabad,111.11111111111111
780,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1750 sqft,19500,hyder nagar nh,194.44444444444446
781,																																								2 BHK Apartment																									            	,2,Furnished,Family,1050 sqft,16500,tulasinagarhmt hillsjntukphb,116.66666666666667
782,																																								3 BHK Builder Floor																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1500 sqft,15000,kanchan bagh,166.66666666666666
783,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors,1600 sqft,27000,kukatpally nh,177.77777777777777
784,																																								3 BHK Apartment																									            	,North,Furnished,Bachelors/Family,1800 sqft,44000,himayatnagar,200.0
785,																																								2 BHK Apartment																									            	,East,Semi-Furnished,Family,1205 sqft,22000,narsingi outer ring road,133.88888888888889
786,																																								3 BHK Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1400 sqft,18000,asif nagar,155.55555555555554
787,																																								2 BHK Apartment																									            	,Garden/Park,Semi-Furnished,Family,1314 sqft,30000,narsingi outer ring road,146.0
789,																																								2 BHK Apartment																									            	,1,Unfurnished,Family,1050 sqft,6000,sangareddy,116.66666666666667
790,																																								3 BHK Service Apartment																									            	,							Immediately			            ,Unfurnished,Bachelors/Family,1350 ground,20000,miyapur ground floor,150.0
791,																																								3 BHK Apartment																									            	,,Bachelors/Family,2,1225 sqft,15000,fort view colony,136.11111111111111
792,																																								3 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,1860 sqft,45000,financial district nanakram guda,206.66666666666666
793,																																								2 BHK Apartment																									            	,2,Semi-Furnished,Bachelors,1000 sqft,9000,sri sai varshith residency  			            	 	                	 	                		 					            							          							         	beeramguda ramachandra puram nh,111.11111111111111
794,																																								2 BHK Apartment																									            	,3,Semi-Furnished,Bachelors/Family,1150 sqft,19500,hyderabad,127.77777777777777
796,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,1000 sqft,9000,poojitha enclavebachupally,111.11111111111111
797,																																								3 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1520 sqft,25000,hafeezpet nh,168.88888888888889
798,																																								10 BHK Service Apartment																									            	,2,Unfurnished,Bachelors/Family,900 sqft,10000,kothapet,100.0
799,																																								2 BHK Apartment																									            	,1,Unfurnished,Bachelors/Family,820 sqft,10000,padmanagar phase,91.11111111111111
800,																																								3 BHK Apartment																									            	,							Immediately			            ,Furnished,Bachelors/Family,1500 sqft,25000,attapur,166.66666666666666
801,																																								3 BHK Builder Floor																									            	,1,Unfurnished,Bachelors/Family,1550 sqft,13000,sainikpuri,172.22222222222223
802,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1685 sqft,37500,gachibowli outer ring road,187.22222222222223
803,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,800 sqft,20000,banjara hills road no,88.88888888888889
804,																																								2 BHK Apartment																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,1200 sqft,20000,sahibabad,133.33333333333334
805,																																								3 BHK Apartment																									            	,1,Semi-Furnished,Bachelors/Family,1700 sqft,18000,madina colony falaknuma,188.88888888888889
806,																																								2 BHK Apartment																									            	,1,Furnished,Bachelors/Family,1314 sqft,29000,my home avatar  			            	 	                	 	                		 					            							          							           							         	puppalagudanarsingigachibowli,146.0
807,																																								3 BHK Builder Floor																									            	,South,Unfurnished,Bachelors/Family,1800 sqft,20000,tolly chowki,200.0
808,																																								2 BHK Builder Floor																									            	,							Immediately			            ,Semi-Furnished,Bachelors/Family,950 sqft,16000,himayat nagar,105.55555555555556
809,																																								2 BHK Builder Floor																									            	,North,Unfurnished,Family,1200 sqft,13500,mehdipatanm padmanabha nagar,133.33333333333334
810,																																								2 BHK Apartment																									            	,2,Unfurnished,Bachelors/Family,1000 sqft,11000,moula ali moula ali road,111.11111111111111
811,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1000 sqft,12000,rajendra nagar outer ring road,111.11111111111111
812,3 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,1400 sqft,17500,bandlaguda,155.55555555555554
813,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1080 sqft,13000,bandam kommu,120.0
815,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,10000,beeramguda ramachandra puram nh,200.0
816,2 BHK Apartment,,Bachelors/Family,2,1312 sqft,30000,narsingi outer ring road,145.77777777777777
817,3 BHK Apartment,1,Furnished,Bachelors/Family,1620 sqft,22000,deepthisri nagar nh,180.0
818,2 BHK Apartment,1,Unfurnished,Bachelors/Family,975 sqft,16000,tolly chowki,108.33333333333333
819,3 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,1200 sqft,15000,nallakunta,133.33333333333334
820,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1520 sqft,10000,sai homes peerzadiguda,168.88888888888889
821,2 BHK Builder Floor,1,Furnished,Bachelors/Family,950 sqft,18500,chintal nh,105.55555555555556
822,3 BHK Apartment,North,Unfurnished,Bachelors/Family,1400 sqft,15000,defence colony secunderabad,155.55555555555554
823,2 BHK Builder Floor,3,Semi-Furnished,Bachelors/Family,1400 sqft,22000,vinayak nagar,155.55555555555554
824,2 BHK Apartment,3,Furnished,Bachelors/Family,870 sqft,15000,moula ali moula ali road,96.66666666666667
825,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1450 sqft,17000,friends colony,161.11111111111111
826,2 BHK Builder Floor,East,Semi-Furnished,Bachelors/Family,1200 sqft,14000,toli chowki,133.33333333333334
827,2 BHK Builder Floor,Immediately,Unfurnished,Bachelors/Family,800 sqft,8500,meerpet,88.88888888888889
828,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1870 sqft,40000,gachibowli outer ring road,207.77777777777777
829,2 BHK Apartment,2,Furnished,Bachelors/Family,900 sqft,30000,mythri nagar hafeezpet nh,100.0
830,2 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1145 sqft,13000,secunderabad rashtrapati road,127.22222222222223
831,3 BHK Apartment,3,Furnished,Bachelors/Family,1950 sqft,50000,banjara hills nh,216.66666666666666
832,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,1200 sqft,25000,khairatabad nh,133.33333333333334
833,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1568 sqft,25000,appa junction,174.22222222222223
834,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,35000,khairatabad nh,200.0
835,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1000 sqft,6500,karimnagar,111.11111111111111
836,2 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,500 sqft,8000,rtc cross road,55.55555555555556
838,2 BHK Builder Floor,2,Semi-Furnished,Family,1045 sqft,20000,migh colonymehdipatnam,116.11111111111111
840,2 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,1350 sqft,15000,attapur,150.0
841,3 BHK Apartment,From Nov '19,Semi-Furnished,Bachelors/Family,2560 sqft,38000,kompally,284.44444444444446
842,4 BHK Builder Floor,1,Unfurnished,Bachelors,3000 sqft,40000,,333.3333333333333
843,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1800 sqft,40000,banjara hills nh,200.0
844,3 BHK Builder Floor,Immediately,Semi-Furnished,Bachelors/Family,2200 sqft,30000,manikonda outer ring road,244.44444444444446
845,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1800 sqft,37000,gachibowli outer ring road,200.0
846,2 BHK Apartment,2,Unfurnished,Bachelors,1350 sqft,15000,lb nagar nh,150.0
847,4 BHK Apartment,Immediately,Unfurnished,Bachelors/Family,2400 sqft,38000,ameerpet nh,266.6666666666667
849,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,12000,uppal nh,133.33333333333334
850,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1370 sqft,23000,kokapet outer ring road,152.22222222222223
852,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,18000,alkapur township manikonda outer ring road,166.66666666666666
854,3 BHK Builder Floor,,Bachelors/Family,3,1400 sqft,16000,new nallakunta,155.55555555555554
855,3 BHK Apartment,East,Furnished,Family,1280 sqft,35000,cmc enclave kondapur,142.22222222222223
