Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
392,3 BHK Apartment,1,Unfurnished,Bachelors/Family,1850 sqft,36000,aditya gardenia banjara hills nh,205.55555555555554
395,2 BHK Apartment,East,Unfurnished,Bachelors,1200 sqft,14000,musheerabad,133.33333333333334
396,3 BHK Apartment,1,Semi-Furnished,Bachelors,1525 sqft,25000,friends colony,169.44444444444446
397,2 BHK Apartment,3,Semi-Furnished,Family,1150 sqft,18000,khairtabad,127.77777777777777
398,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1650 sqft,15000,golden heights colony janachaitanya colony hyderabad expressway,183.33333333333334
399,2 BHK Builder Floor,1,Semi-Furnished,Bachelors/Family,1200 sqft,13000,chilakalguda,133.33333333333334
400,3 BHK Apartment,2,Furnished,Bachelors/Family,1580 sqft,50000,habsiguda nh,175.55555555555554
401,2 BHK Apartment,1,Unfurnished,Bachelors/Family,950 sqft,8500,b n reddy nagar nagarjuna sagar road,105.55555555555556
402,3 BHK Apartment,Immediately,Semi-Furnished,Bachelors/Family,1678 sqft,16000,upparpally hyderabad expressway,186.44444444444446
403,2 BHK Apartment,2,Unfurnished,Bachelors,1175 sqft,12000,anandbagh secunderabad moula ali road,130.55555555555554
405,3 BHK Apartment,2,Semi-Furnished,Bachelors,1632 sqft,25000,lb nagar nh,181.33333333333334
406,2 BHK Apartment,1,Unfurnished,Bachelors,1000 sqft,15000,langar house south hyderabad expressway,111.11111111111111
407,4 BHK Builder Floor,1,Semi-Furnished,Bachelors,1650 sqft,23000,toli chowki,183.33333333333334
408,3 BHK Apartment,1,Semi-Furnished,Family,1690 sqft,37000,my home vihanga gachibowli outer ring road,187.77777777777777
410,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1900 sqft,26000,hill county township bachupally outer ring road,211.11111111111111
411,3 BHK Apartment,1,Furnished,Bachelors,1648 sqft,24000,tnr sulakshna lb nagar nh,183.11111111111111
412,3 BHK Apartment,2,Semi-Furnished,Family,1570 sqft,17000,manasa vensa ashraya saroornagar nh,174.44444444444446
413,3 BHK Apartment,1,Semi-Furnished,Family,1490 sqft,30000,aditya imperial heights hafeezpet nh,165.55555555555554
414,4 BHK Apartment,3,Unfurnished,Family,2675 sqft,50000,ashoka liviano p janardhan reddy nagar gachibowli outer ring road,297.22222222222223
415,3 BHK Service Apartment,3,Furnished,Bachelors/Family,1660 sqft,26000,east oak luxury apartments pocharam nh,184.44444444444446
416,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,1490 sqft,35000,aditya imperial heights hafeezpet nh,165.55555555555554
417,2 BHK Apartment,1,Unfurnished,Bachelors/Family,650 sqft,8500,lig apartments kukatpally nh,72.22222222222223
418,3 BHK Apartment,2,Furnished,Bachelors/Family,1550 sqft,40000,narayanguda,172.22222222222223
419,2 BHK Apartment,1,Furnished,Bachelors/Family,1200 sqft,15000,devi bagh bahadurpura,133.33333333333334
420,3 BHK Apartment,2,Semi-Furnished,Family,1410 sqft,23000,tellapur outer ring road,156.66666666666666
421,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,21000,sriramnagarkothaguda,133.33333333333334
422,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1530 sqft,28000,vazhraa nirmaan pushpak nizampet,170.0
423,2 BHK Apartment,1 Covered,Bachelors/Family,2,1500 sqft,25000,pt colony,166.66666666666666
424,3 BHK Apartment,1,Semi-Furnished,Family,1725 sqft,30000,honer vivantis nalagandala,191.66666666666666
426,3 BHK Service Apartment,1,Furnished,Bachelors/Family,1800 sqft,40000,attapur,200.0
427,3 BHK Apartment,3,Semi-Furnished,Family,1520 sqft,28000,west marredpally,168.88888888888889
428,2 BHK Apartment,1,Furnished,Bachelors,1600 sqft,11500,almasguda,177.77777777777777
429,3 BHK Apartment,1,Semi-Furnished,Bachelors,1350 sqft,15000,sun city bandlaguda chevella road,150.0
430,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2200 sqft,50000,whistling woods kokapet outer ring road,244.44444444444446
431,2 BHK Apartment,1,Furnished,Bachelors,1200 sqft,25000,toli chowki,133.33333333333334
432,2 BHK Apartment,2,Furnished,Bachelors,1500 sqft,30500,khaja guda outer ring road,166.66666666666666
433,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1643 sqft,25000,rv kaustubha kompally,182.55555555555554
